,Mileage,Rating,Rating-Count,Year,Price,Name,Status,model_details
2258,13147,4.4,2422,2021,53495.0,GMC,Good,1 GMC Sierra 1500 SLT
2260,17076,4.0,631,2020,44900.0,BMW,Great, BMW 440 Gran Coupe i
2261,41301,4.3,487,2020,63590.0,BMW,Great, BMW X7 xDrive40i
2262,24328,4.8,1159,2021,41633.0,GMC,Good,1 GMC Acadia SLT
2263,17922,4.6,1072,2020,38995.0,Volvo,Good, Volvo S60 T6 Inscription
2264,37620,4.8,237,2021,63995.0,BMW,Unknown,1 BMW X7 xDrive40i
2265,4154,3.7,159,2022,35997.0,Toyota,Good, Toyota Tacoma SR
2266,44628,4.8,4168,2019,32488.0,Honda,Great,19 Honda Passport Touring
2267,9539,4.3,236,2022,37995.0,Kia,Good, Kia Sorento S
2268,50718,4.7,1106,2020,25998.0,Honda,Good, Honda Accord LX 1.5T
2269,20171,3.0,35,2020,47900.0,Porsche,Great, Porsche Macan Base
2270,19670,4.7,7422,2022,42245.0,Toyota,Great, Toyota Highlander XLE
2271,31939,4.3,6041,2019,40990.0,Toyota,Good,19 Toyota Highlander XLE
2272,9592,3.0,133,2020,39777.0,Cadillac,Good, Cadillac CT5 Luxury AWD
2273,20175,4.5,363,2019,34495.0,BMW,Good,19 BMW i3 120Ah w/Range Extender
2274,29119,3.7,38,2018,45300.0,Maserati,Great,18 Maserati Ghibli S Q4 GranLusso
2275,39321,4.9,597,2021,50021.0,Toyota,Good,1 Toyota Tundra Limited
2276,23203,4.5,2666,2021,41888.0,Toyota,Good,1 Toyota Venza Limited
2277,30226,4.9,302,2017,32710.0,Toyota,Great,17 Toyota Tacoma TRD Sport
2278,28154,4.7,2462,2021,42064.0,Subaru,Good,1 Subaru Ascent Limited 7-Passenger
2279,27127,4.2,487,2020,67000.0,Ford,Good, Ford Expedition KING RANCH
2280,28133,5.0,312,2020,27657.0,Volkswagen,Great, Volkswagen Tiguan 2.0T SE
2281,9718,4.9,108,2022,109491.0,Cadillac,Great, Cadillac Escalade Sport
2283,52288,4.1,10,2020,29244.0,GMC,Great, GMC Acadia SLT
2284,18651,4.0,863,2022,84898.0,Ford,Fair, Ford F-250 PLATINUM
2285,49209,4.5,2283,2020,46994.0,Ford,Good, Ford Expedition XLT
2286,35664,4.7,975,2021,27399.0,Chevrolet,Good,1 Chevrolet Trailblazer LS
2288,40994,4.6,466,2019,64700.0,Porsche,Good,19 Porsche Cayenne Base
2289,20203,1.2,72,2020,34998.0,Honda,Fair, Honda Accord Sport 1.5T
2290,5442,4.2,418,2022,38455.0,INFINITI,Great, INFINITI Q50 LUXE
2291,1963,4.9,108,2022,46990.0,Cadillac,Unknown, Cadillac XT6 Luxury FWD
2292,21683,4.0,365,2021,49997.0,Ford,Good,1 Ford Explorer Platinum
2293,17450,4.1,522,2019,25611.0,Nissan,Great,19 Nissan Leaf SV
2294,18362,4.9,1011,2022,68500.0,INFINITI,Fair, INFINITI QX80 PREMIUM SELECT
2295,26834,2.7,413,2021,32735.0,Toyota,Unknown,1 Toyota Highlander LE
2297,73517,4.9,3430,2017,24919.0,Toyota,Fair,17 Toyota Prius v Five
2300,2986,4.8,2353,2022,41400.0,Chevrolet,Great, Chevrolet Silverado 1500 Limited LT
2301,17326,4.5,1653,2021,40344.0,RAM,Great,1 RAM 1500 Classic Warlock
