,Name,Vehicle_details,Mileage,Rating,Rating-Count,Price,Deal-Status,Year,Status
1967,Porsche,2022 Porsche 911 Turbo S,1449 ,4.4,72 ,294898,Good Deal,2022,Good
1968,Toyota,2022 Toyota Sienna XSE 7 Passenger,19415 ,Nan,123 ,56450,Good Deal,2022,Good
1969,Volvo,2020 Volvo XC60 T5 Inscription,47639 ,4.0,322 ,39990,Good Deal,2020,Good
1970,Porsche,2013 Porsche 911 Carrera S,23963 ,4.5,429 ,88087,Good Deal,2013,Good
1971,Dodge,2021 Dodge Durango GT,21531 ,4.8,3532 ,40580,Good Deal | $1375 under,2021,Good
1972,Acura,2021 Acura TLX Technology,15042 ,3.9,73 ,36999,Good Deal | $181 under,2021,Good
1973,Jeep,2020 Jeep Grand Cherokee Limited,33732 ,3.1,702 ,40491,Great Deal | $4483 under,2020,Great
1974,Toyota,2021 Toyota Avalon Hybrid XSE,31200 ,4.8,890 ,39958,Good Deal | $1377 under,2021,Good
1975,Honda,2020 Honda Accord Hybrid Base,54309 ,4.9,1916 ,26900,Good Deal | $1227 under,2020,Good
1976,Porsche,2020 Porsche Taycan Turbo S,4928 ,3.8,175 ,165319,Great Deal,2020,Great
1977,Chevrolet,2021 Chevrolet Silverado 2500 High Country,37318 ,4.7,1389 ,73987,Good Deal | $1629 under,2021,Good
1978,Toyota,2021 Toyota Tundra SR5,21771 ,4.8,1017 ,49674,Good Deal | $239 under,2021,Good
1979,Volkswagen,2022 Volkswagen Taos SEL,2197 ,Nan,70 ,33545,CPO Warrantied,2022,Unknown
1980,Toyota,2022 Toyota Tundra Hybrid Capstone,230 ,4.8,2158 ,83994,Good Deal,2022,Good
1981,Chevrolet,2019 Chevrolet Equinox 1LT,52084 ,3.5,34 ,20450,Great Deal | $4530 under,2019,Great
1982,Volkswagen,2022 Volkswagen Atlas Cross Sport 3.6L V6 SEL,5664 ,4.7,543 ,44998,Good Deal | $1054 under,2022,Good
1983,Toyota,2018 Toyota Tundra SR5,44724 ,Nan,13 ,32995,Great Deal,2018,Great
1984,RAM,2021 RAM 1500 Laramie,5749 ,2.8,295 ,52990,Great Deal | $3340 under,2021,Great
1985,GMC,2019 GMC Acadia SLT-1,40858 ,4.8,761 ,33990,Good Deal | $771 under,2019,Good
1986,Jeep,2021 Jeep Cherokee Latitude Plus,16931 ,4.7,728 ,30200,Good Deal,2021,Good
1987,Kia,2022 Kia EV6 GT-Line,8027 ,2.0,178 ,55690,Good Deal | $1704 under,2022,Good
1988,Volkswagen,2020 Volkswagen Tiguan 2.0T SE,28133 ,5.0,312 ,27657,Great Deal | $2200 under,2020,Great
1989,Nissan,2018 Nissan Sentra SV,16501 ,Nan,16 ,19987,Good Deal | $661 under,2018,Good
1990,Nissan,2020 Nissan Pathfinder S,17162 ,4.8,1296 ,28777,CPO Warrantied,2020,Unknown
1991,BMW,2019 BMW X7 xDrive40i,30545 ,4.8,1444 ,61847,CPO Warrantied,2019,Unknown
1992,Dodge,2021 Dodge Durango GT Plus,19240 ,4.8,406 ,40977,CPO Warrantied,2021,Unknown
1993,BMW,2020 BMW M240 i xDrive,26199 ,4.6,846 ,41994,Good Deal | $251 under,2020,Good
1994,Honda,2020 Honda CR-V EX,14108 ,4.8,2348 ,32990,Good Deal,2020,Good
1995,Volvo,2019 Volvo XC60 T6 Momentum,43436 ,4.9,86 ,33925,Great Deal | $6612 under,2019,Great
1996,Kia,2022 Kia Carnival LX,7781 ,4.9,1888 ,39994,Good Deal | $1875 under,2022,Good
1997,Toyota,2021 Toyota Venza LE,28750 ,3.3,303 ,36887,CPO Warrantied,2021,Unknown
1998,Volkswagen,2020 Volkswagen Passat 2.0T S,14149 ,4.7,701 ,23500,CPO Warrantied,2020,Unknown
1999,Nissan,2022 Nissan Armada SV,3109 ,4.7,1253 ,49795,CPO Warrantied,2022,Unknown
2000,Ford,2020 Ford Fusion SEL,41949 ,3.3,285 ,23499,Good Deal | $166 under,2020,Good
